epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4825,1.11309,1.46923,1.39064,0.49621,0.52286,0.47182,0.27661,1.57205,2.06709,1.72651,0.0004738,0.0004738,0.0004738
2,186.782,1.2998,1.63862,1.51436,0.3903,0.52665,0.43649,0.25009,1.63429,2.13666,1.78408,0.00093132,0.00093132,0.00093132
3,283.166,1.31782,1.69376,1.53683,0.41576,0.44449,0.37883,0.21427,1.69588,2.24192,1.83777,0.00136998,0.00136998,0.00136998
4,361.973,1.3117,1.67878,1.53982,0.55298,0.57332,0.56878,0.33713,1.50837,1.95673,1.64364,0.00134412,0.00134412,0.00134412
5,584.554,1.23764,1.59204,1.48139,0.60407,0.59198,0.61175,0.36348,1.46863,1.66075,1.60583,0.00131582,0.00131582,0.00131582
6,791.243,1.19527,1.49765,1.44483,0.60934,0.57737,0.6142,0.37324,1.49602,1.62396,1.62658,0.00128753,0.00128753,0.00128753
7,984.366,1.17783,1.46557,1.44247,0.6149,0.59365,0.6208,0.38737,1.41587,1.62729,1.54594,0.00125923,0.00125923,0.00125923
8,1119.05,1.15202,1.44921,1.4272,0.66095,0.64613,0.67814,0.4373,1.34813,1.44157,1.49014,0.00123094,0.00123094,0.00123094
9,1192.41,1.1203,1.38727,1.40075,0.605,0.60946,0.6575,0.41967,1.37277,1.58569,1.49641,0.00120265,0.00120265,0.00120265
10,1334.76,1.08384,1.32544,1.37974,0.65953,0.64851,0.68538,0.45463,1.34644,1.39932,1.51622,0.00117435,0.00117435,0.00117435
11,1430.78,1.07712,1.2936,1.3628,0.6874,0.64112,0.70589,0.47039,1.27728,1.33944,1.39736,0.00114606,0.00114606,0.00114606
12,1514.2,1.07338,1.25136,1.35391,0.69907,0.6607,0.71642,0.46702,1.28167,1.29371,1.4345,0.00111776,0.00111776,0.00111776
13,1604.79,1.0433,1.22722,1.34671,0.67132,0.65494,0.70889,0.47746,1.23447,1.32934,1.39919,0.00108947,0.00108947,0.00108947
14,1679.17,1.03664,1.18808,1.33127,0.74994,0.67693,0.75808,0.52619,1.20063,1.17105,1.36559,0.00106118,0.00106118,0.00106118
15,1747.92,1.01325,1.18011,1.31953,0.72,0.69712,0.74719,0.50427,1.247,1.2064,1.39313,0.00103288,0.00103288,0.00103288
16,1812.57,1.00525,1.16803,1.30772,0.71959,0.6886,0.76096,0.52021,1.19281,1.17397,1.34115,0.00100459,0.00100459,0.00100459
17,1879.59,0.97628,1.12539,1.29873,0.79319,0.68606,0.78274,0.54665,1.19943,1.13399,1.34305,0.000976293,0.000976293,0.000976293
18,1961.09,0.98318,1.11787,1.29486,0.72097,0.63951,0.71841,0.49,1.16955,1.2239,1.33563,0.000947999,0.000947999,0.000947999
19,2040.84,0.98047,1.10698,1.2966,0.76993,0.68751,0.78008,0.54094,1.16092,1.12285,1.33245,0.000919704,0.000919704,0.000919704
20,2110.68,0.94813,1.0704,1.27012,0.77357,0.7106,0.79294,0.54893,1.17401,1.06497,1.3169,0.00089141,0.00089141,0.00089141
21,2183.4,0.96714,1.08435,1.28009,0.74874,0.71766,0.78472,0.5549,1.16093,1.07635,1.34922,0.000863116,0.000863116,0.000863116
22,2248.27,0.94573,1.04754,1.26538,0.74363,0.7248,0.79232,0.55279,1.14111,1.05265,1.31669,0.000834822,0.000834822,0.000834822
23,2313.73,0.94036,1.03198,1.26205,0.78852,0.74729,0.82144,0.57997,1.12962,0.98859,1.29405,0.000806528,0.000806528,0.000806528
24,2379.78,0.92905,1.02151,1.25381,0.7852,0.73003,0.79561,0.55797,1.1183,1.02807,1.30512,0.000778233,0.000778233,0.000778233
25,2446,0.90774,0.99601,1.24897,0.80165,0.75179,0.80832,0.57304,1.13364,1.03896,1.29978,0.000749939,0.000749939,0.000749939
26,2512.43,0.88908,0.96977,1.23436,0.78491,0.74759,0.81963,0.58494,1.0847,0.98946,1.25136,0.000721645,0.000721645,0.000721645
27,2582.49,0.88586,0.9547,1.22951,0.80715,0.71579,0.81615,0.58692,1.09433,0.99865,1.27121,0.000693351,0.000693351,0.000693351
28,2650.8,0.86661,0.9429,1.21671,0.77792,0.72612,0.79225,0.564,1.09555,1.03568,1.2816,0.000665057,0.000665057,0.000665057
29,2719.46,0.88383,0.93479,1.21648,0.82001,0.74648,0.82952,0.60476,1.07254,0.93543,1.24834,0.000636762,0.000636762,0.000636762
30,2784.64,0.86225,0.91282,1.20697,0.83012,0.73804,0.82695,0.60671,1.04726,0.93893,1.2301,0.000608468,0.000608468,0.000608468
31,2856.69,0.84746,0.88706,1.20362,0.78533,0.77693,0.83099,0.60639,1.05414,0.93491,1.23209,0.000580174,0.000580174,0.000580174
32,2927.93,0.84613,0.87975,1.19387,0.82132,0.75397,0.83777,0.60721,1.05776,0.91661,1.23143,0.00055188,0.00055188,0.00055188
33,2997.26,0.84877,0.87324,1.20138,0.80592,0.77716,0.83839,0.6167,1.02756,0.90823,1.20659,0.000523586,0.000523586,0.000523586
34,3068.72,0.83372,0.85517,1.18948,0.8298,0.76814,0.83985,0.62256,1.02546,0.89285,1.21266,0.000495291,0.000495291,0.000495291
35,3137.51,0.82501,0.84893,1.18592,0.83751,0.75801,0.8429,0.62074,1.01931,0.88508,1.20203,0.000466997,0.000466997,0.000466997
36,3204.42,0.82154,0.83091,1.17129,0.81821,0.76468,0.84654,0.6214,1.01944,0.85148,1.20513,0.000438703,0.000438703,0.000438703
37,3269.95,0.81167,0.82011,1.17159,0.81832,0.7874,0.85066,0.63051,1.00655,0.85728,1.19017,0.000410409,0.000410409,0.000410409
38,3335.4,0.79209,0.80323,1.16855,0.81593,0.77304,0.84448,0.63046,1.0089,0.86201,1.19166,0.000382115,0.000382115,0.000382115
39,3401.08,0.78475,0.78183,1.1576,0.83497,0.77116,0.85326,0.6375,0.99937,0.84155,1.18243,0.00035382,0.00035382,0.00035382
40,3465.71,0.78676,0.79148,1.16439,0.83931,0.78175,0.85188,0.62804,1.01291,0.8593,1.20109,0.000325526,0.000325526,0.000325526
41,3560.44,0.75961,0.66429,1.1454,0.841,0.77954,0.85228,0.64227,0.98505,0.8279,1.1704,0.000297232,0.000297232,0.000297232
42,3622.33,0.73655,0.61919,1.13165,0.85503,0.7825,0.8535,0.63793,0.991,0.8299,1.18487,0.000268938,0.000268938,0.000268938
43,3682.92,0.71841,0.60293,1.11599,0.83651,0.80186,0.86092,0.64517,0.98751,0.82326,1.18425,0.000240644,0.000240644,0.000240644
44,3743.39,0.70737,0.58177,1.11449,0.84134,0.78895,0.85928,0.64501,0.99159,0.8109,1.1841,0.000212349,0.000212349,0.000212349
45,3806.35,0.7047,0.58265,1.10266,0.84411,0.78509,0.85682,0.64953,0.97154,0.80794,1.16926,0.000184055,0.000184055,0.000184055
46,3872.57,0.67916,0.5428,1.08816,0.85584,0.79377,0.86496,0.64861,0.9792,0.79106,1.17728,0.000155761,0.000155761,0.000155761
47,3937.2,0.67006,0.53508,1.07843,0.8453,0.80448,0.8679,0.65687,0.96721,0.79056,1.16945,0.000127467,0.000127467,0.000127467
48,4001.31,0.65279,0.52345,1.077,0.85896,0.80073,0.86994,0.65735,0.96726,0.77772,1.16519,9.91726e-05,9.91726e-05,9.91726e-05
49,4066.55,0.65907,0.50574,1.07574,0.85263,0.80973,0.87036,0.65534,0.96398,0.77752,1.16802,7.08784e-05,7.08784e-05,7.08784e-05
50,4130.89,0.64189,0.5017,1.07079,0.85373,0.80673,0.87198,0.65813,0.96042,0.77187,1.16142,4.25842e-05,4.25842e-05,4.25842e-05
